"cluster","vd","capac_prod","prac_empre","abs_ih","prop_calif","gest_rrhh","orga_tec","prop_capac","vinc_inst","d_especinsum","d_especproce","d_trazabilidad","d_problemas","d_mejoracont","d_diseno","d_deptoid","d_montcomp","d_montec","prop_prof","prop_tec","d_rrhhdto","d_perffor","d_evaldes","d_sistemas","d_sapoydec","d_softgest","capacit_nojer","capacit_ger","capacit_sup","d_vincpub","d_vincfir","d_vincase","tam_mue","k_inac","rama_act","exporta","innovo","ing","dai","did","empleo","tc.va.tr","tc.empleo","tc.ventas"
"4",FALSE,3,3,2,12.5513448918394,3,3,85.3333333333333,2,1,1,1,1,1,1,1,1,1,17.0322894590949,8.07040032458385,1,1,1,1,1,1,76,87,93,1,1,0,"Grande",1,"Alimentos",0,1,294457143.456807,1,0,NA,79.0163674181152,NA,38.4948898413027
"4",FALSE,3,3,2,22.2587981628092,3,3,33.3333333333333,3,1,1,1,1,1,1,0,1,1,22.2597899581284,22.2578063674901,1,1,1,1,1,1,59,15,26,1,1,1,"Grande",1,"Otras",1,1,294457143.456807,1,0,NA,73.804877776806,NA,38.4948898413027
"1",FALSE,0,0,1,32.7527549170518,3,3,100,0,0,0,0,0,0,0,0,1,1,31.0110196682074,34.4944901658963,1,1,1,1,1,1,100,100,100,0,0,0,"Grande",1,"Alimentos",0,0,294457143.456807,1,0,NA,26.5732275322266,NA,38.4948898413027
"4",FALSE,3,3,3,26.3233853076638,3,3,36.6666666666667,3,1,1,1,1,1,1,1,1,1,34.1969899399062,18.4497806754213,1,1,1,1,1,1,30,50,30,1,1,1,"Grande",1,"Otros minerales no metalicos",1,0,294457143.456807,1,0,NA,82.3596147301684,NA,38.4948898413027
"4",TRUE,3,2,3,22.0422809231252,3,3,0,2,1,1,1,1,1,0,1,1,1,37.8979354946237,6.18662635162668,1,1,1,1,1,1,0,0,0,1,1,0,"Grande",1,"Frigorificos",1,1,294457143.456807,1,1,NA,29.324533213352,NA,38.4948898413027
"4",TRUE,3,3,2,42.0742229272536,2,3,50,2,1,1,1,1,1,1,0,1,1,63.1048993844454,21.0435464700618,1,0,1,1,1,1,50,50,50,1,1,0,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,0,NA,56.9575925512739,NA,38.4948898413027
"4",FALSE,3,3,3,9.27375412701073,3,3,100,3,1,1,1,1,1,1,1,1,1,18.4364937203015,0.111014533719965,1,1,1,1,1,1,100,100,100,1,1,1,"Grande",1,"Otras",1,0,294457143.456807,1,0,NA,8.07812291972493,NA,38.4948898413027
"4",TRUE,3,3,3,19.1676787984555,3,2,100,2,1,1,1,1,1,1,1,1,1,22.0530980289871,16.282259567924,1,1,1,1,0,1,100,100,100,1,1,0,"Grande",0,"Papel",1,1,294457143.456807,1,1,NA,46.8030234136175,NA,38.4948898413027
"3",FALSE,1,1,2,25.1857817631806,1,3,50,1,0,0,1,0,0,1,0,1,1,40.8944858259412,9.47707770041997,1,0,0,1,1,1,50,50,50,0,0,1,"Grande",0,"Edicion",1,0,294457143.456807,0,0,NA,113.13632129369,NA,38.4948898413027
"4",TRUE,3,3,3,4.58333453663017,3,3,100,3,1,1,1,1,1,1,1,1,1,2.07440223676848,7.09226683649186,1,1,1,1,1,1,100,100,100,1,1,1,"Grande",1,"Alimentos",1,1,294457143.456807,1,1,NA,52.3422011509231,NA,38.4948898413027
